n,parents_age,child_age,coef,se,df
36552,39,39,0.479814559470951,0.0110711193414665,36545
36552,41,39,0.464620573030397,0.0106082663208713,36545
36552,43,39,0.485536223438462,0.0109886839263677,36545
36552,45,39,0.505742604365539,0.0112392056536908,36545
36554,51,39,0.484862342131336,0.0109257701210223,36547
36555,40,39,0.485731700070631,0.0111084834364505,36548
36555,42,39,0.492496909420905,0.0111540096073615,36548
36555,46,39,0.512278791543497,0.0113089366606523,36548
36555,52,39,0.517140004530169,0.011424502956218,36548
36555,54,39,0.50926409507091,0.0114077111412481,36548
36555,55,39,0.506094116537192,0.0112227673312742,36548
36560,48,39,0.501771497274096,0.0113234052332937,36553
36562,44,39,0.490957804640209,0.0113091669642642,36555
36562,47,39,0.486337070987899,0.0110363555140875,36555
36562,50,39,0.500984138635217,0.0113001823224837,36555
41539,25,37,0.261256430232054,0.0138439761156815,41531
41600,27,37,0.379326600013371,0.0135886506305848,41592
41606,26,37,0.331795962054848,0.0136830692807666,41598
41711,25,38,0.241156946544583,0.0137724740809816,41703
41769,25,36,0.275543013824851,0.0139048303982578,41761
41783,25,35,0.286298766291172,0.0141718758395608,41775
41792,27,38,0.351320942250048,0.0135231990336184,41784
41797,26,38,0.310056725899059,0.0136173670760613,41789
41810,27,35,0.399861767475818,0.0139095179141284,41802
41810,27,36,0.388420511270576,0.0136215228735353,41802
41814,26,35,0.364329745452238,0.0140226302703808,41806
41814,26,36,0.350149358383465,0.0137278446854998,41806
41874,30,37,0.445734658107385,0.0125682437935784,41866
41887,28,37,0.422937409455252,0.0128819135245176,41879
41920,31,37,0.482328669263786,0.0118651101262862,41912
41939,32,37,0.433792191402841,0.0112328019660455,41931
41954,33,37,0.503050680381761,0.0113145428466066,41946
41961,29,37,0.45497655161388,0.0125301626360037,41953
41968,30,35,0.46865993950952,0.0129177598878828,41960
41973,34,37,0.485965516873721,0.0111154997300876,41965
41985,31,35,0.500349665888222,0.0121561052235206,41977
41987,28,35,0.444503080700715,0.0131430335191772,41979
41998,60,37,0.450337136660506,0.010114083119742,41990
41999,32,35,0.454708844733253,0.0115624658939524,41991
41999,59,37,0.475070578818991,0.0102159875535276,41991
42012,35,37,0.45996499784534,0.0102988994269167,42004
42012,36,37,0.487259120781773,0.0107634579630906,42004
42014,49,37,0.483092857685083,0.00983545794131582,42006
42017,53,37,0.502614772097746,0.01032147551992,42009
42019,33,35,0.522717217757748,0.0115892800379307,42011
42021,29,35,0.469477266202104,0.0127176342816279,42013
42022,38,37,0.522952917994561,0.0108127252233572,42014
42023,34,35,0.512900431824029,0.0115157163421378,42015
42026,49,35,0.504630674011685,0.0101521438377026,42018
42027,58,37,0.475392636041808,0.0102221605860937,42019
42032,30,36,0.453096350489786,0.0126396048205196,42024
42032,51,37,0.49851496076951,0.0102528066552134,42024
42033,56,37,0.522067421616913,0.0108317169786837,42025
42033,57,37,0.49740000719389,0.0105897115341653,42025
42034,37,37,0.522802545824756,0.0108540582660982,42026
42034,39,37,0.494841503413121,0.0103814478886552,42026
42034,41,37,0.478355600081182,0.00989864001727822,42026
42034,43,37,0.496135350946118,0.0102305295938129,42026
42034,45,37,0.512190496113069,0.0104648895598542,42026
42038,48,37,0.512445416455391,0.0104680232494192,42030
42038,60,35,0.46407094709428,0.0104290909893847,42030
42039,40,37,0.501188895357723,0.0103656395518096,42031
42039,42,37,0.504450282709598,0.0103771418142154,42031
42039,44,37,0.501822921113204,0.0105212667834648,42031
42039,46,37,0.51499008494347,0.0104463597424873,42031
42039,47,37,0.494869744559921,0.0102634020088892,42031
42039,50,37,0.51169912359371,0.0104715008205917,42031
42039,52,37,0.520951339260693,0.0105846988105532,42031
42039,54,37,0.514183040675197,0.0106429486520408,42031
42039,55,37,0.509247152756056,0.0104203389487874,42031
42040,59,35,0.486290453666631,0.0105404050997105,42032
42043,36,35,0.513965480381182,0.0111289655190224,42035
42044,35,35,0.484365884971826,0.0106203259886786,42036
42045,58,35,0.489996035533619,0.0105141562020125,42037
42047,51,35,0.519304073300402,0.0106233890998939,42039
42048,28,36,0.432754865727209,0.0129073815542315,42040
42048,53,35,0.518749688153714,0.0106527588913622,42040
42053,56,35,0.540067367639953,0.0111805826599017,42045
42053,57,35,0.520349142936805,0.011037132016287,42045
42054,38,35,0.545556116890908,0.011131161401039,42046
42055,37,35,0.547194338969112,0.0111203332710771,42047
42055,39,35,0.522343898295491,0.0107364214569002,42047
42055,41,35,0.504556709770602,0.0102153637738414,42047
42055,43,35,0.516767950774836,0.0105559039351419,42047
