instru,n,child_rank,family_rank,coef,se,boot_se
+ demographic char.,645,44.5503875968992,35,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,47.2279069767442,37,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,47.4868217054264,38,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,45.2511627906977,39,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,45.1007751937985,41,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,48.4279069767442,43,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,49.3736434108527,45,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,49.5317829457364,51,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,50.2976744186047,52,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,50.7116279069768,54,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,51.2093023255814,63,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,51.9441860465116,64,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,55.2418604651163,72,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,53.5100775193799,73,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,57.3193798449612,76,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,59.1271317829457,79,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,61.1054263565892,84,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,61.2744186046512,85,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,60.8666666666667,87,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,62.8480620155039,88,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,63.9317829457364,91,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,63.1937984496124,93,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,645,70.522480620155,99,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,40.9659442724458,15,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,43.3405572755418,16,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,42.3575851393189,19,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,44.1733746130031,20,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,44.4876160990712,23,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,42.9705882352941,25,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,45.5108359133127,27,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,45.1083591331269,28,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,45.5681114551084,32,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,49.9380804953561,55,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,51.8204334365325,56,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,51.4597523219814,58,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,52.1501547987616,61,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,53.5897832817338,66,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,53.812693498452,68,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,56.1578947368421,69,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,54.015479876161,70,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,56.0588235294118,74,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,55.749226006192,75,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,58.5278637770898,78,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,60.7430340557276,86,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,62.390092879257,92,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,69.1625386996904,96,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,646,69.4195046439629,98,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,36.4806800618238,3,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,39.435857805255,5,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,36.7975270479135,9,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,39.4049459041731,10,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,38.5054095826893,12,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,39.3632148377125,13,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,44.2472952086553,24,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,44.9860896445131,40,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,47.2349304482226,46,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,50.3910355486863,53,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,51.2642967542504,60,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,53.5981452859351,65,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,54.112828438949,71,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,56.9891808346213,77,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,58.0587326120557,80,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,60.5656877897991,83,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,61.9459041731067,89,0.296917119576329,0.00375818583014191,0.00419242778019313
+ demographic char.,647,61.1205564142195,90,0.296917119576329,0.00375818583014191,0.00419242778019313
